rank,slug,source,original_title,url,perf_score,ip_risk,ip_score,lead_copy,alt_copy,asset,gen_status
1,leave-it-better-than-you-found-it-sticker-nature,etsy,Leave It Better Than You Found It Sticker Nature Conservation Outdoors Decal,https://www.etsy.com/listing/seed-009,0.7675,low,0,"Take Only Photos, Leave Only Footprints","Take Only Photos, Leave Only Footprints | Pack It In, Pack It Out, Be Cool | Tread Light, Leave It Bright",design.svg,dryrun
2,camping-hair-don-t-care-sticker-cute-outdoors-de,etsy,Camping Hair Don't Care Sticker | Cute Outdoors Decal | Waterproof Vinyl,https://www.etsy.com/listing/seed-006,0.7649,low,0,"Tent Hair, Zero Cares","Tent Hair, Zero Cares | Campfire Smoke Is My Signature Scent | Bedhead By Wilderness",design.svg,dryrun
3,i-hike-so-i-can-eat-snacks-sticker-funny-hiking,etsy,I Hike So I Can Eat Snacks Sticker | Funny Hiking Decal | Waterproof Vinyl Laptop Water Bottle,https://www.etsy.com/listing/seed-001,0.7573,low,0,Hiking: My Cardio For Snacks,Hiking: My Cardio For Snacks | Will Summit For Snacks | The Trail Is Just The Path To Trail Mix,design.svg,dryrun
4,trash-panda-trail-crew-raccoon-camping-sticker-f,etsy,Trash Panda Trail Crew Raccoon Camping Sticker Funny Cute Waterproof Decal,https://www.etsy.com/listing/seed-010,0.7483,low,0,"Trail Crew, Snack Division","Trail Crew, Snack Division | Certified Campsite Bandit | We Come For The Crumbs",design.svg,dryrun
5,the-mountains-are-calling-and-i-must-go-eventual,etsy,The Mountains Are Calling and I Must Go Eventually Sticker Funny Hiker Decal,https://www.etsy.com/listing/seed-004,0.7454,low,0,The Mountains Are Calling But It's Gone To Voicemail,"The Mountains Are Calling But It's Gone To Voicemail | The Peaks Can Wait Until I Finish My Coffee | Mountains Calling — On Hold, Please",design.svg,dryrun
6,wander-often-wonder-always-sticker-cute-travel-n,etsy,Wander Often Wonder Always Sticker Cute Travel Nature Decal Waterproof Vinyl,https://www.etsy.com/listing/seed-015,0.7453,low,0,"Wander More, Worry Less","Wander More, Worry Less | Keep Wondering, Keep Wandering | Curiosity Has A Trailhead",design.svg,dryrun
7,adventure-is-out-there-i-m-staying-in-funny-home,etsy,Adventure Is Out There I'm Staying In Funny Homebody Sticker Waterproof Decal,https://www.etsy.com/listing/seed-019,0.7333,low,0,"Adventure Is Out There. Anyway, Naptime.","Adventure Is Out There. Anyway, Naptime. | The Wild Can Wait, The Couch Cannot | Outdoorsy From The Window",design.svg,dryrun
8,certified-tree-hugger-sticker-cute-nature-sticke,etsy,Certified Tree Hugger Sticker Cute Nature Sticker Waterproof Vinyl Decal,https://www.etsy.com/listing/seed-012,0.6819,low,0,"Professional Tree Hugger, Amateur Everything Else","Professional Tree Hugger, Amateur Everything Else | I Brake For Big Trees | Chlorophyll Enthusiast",design.svg,dryrun
9,sunsets-over-deadlines-sticker-funny-outdoorsy-w,etsy,Sunsets Over Deadlines Sticker Funny Outdoorsy Work Life Decal Waterproof,https://www.etsy.com/listing/seed-013,0.6804,low,0,"Chasing Sunsets, Not Deadlines","Chasing Sunsets, Not Deadlines | Out Of Office, Into The Alpenglow | My PTO Plan Is A Mountain",design.svg,dryrun
10,home-is-where-i-park-it-van-life-sticker-funny-r,etsy,Home Is Where I Park It Van Life Sticker Funny RV Camper Decal Waterproof,https://www.etsy.com/listing/seed-007,0.6741,low,0,My Address Is 'Wherever I Parked',My Address Is 'Wherever I Parked' | Home Has Four Wheels And A Leak | Zip Code: Undecided,design.svg,dryrun
11,mildly-outdoorsy-enthusiastic-about-patios-funny,etsy,Mildly Outdoorsy Enthusiastic About Patios Funny Sticker Waterproof Decal,https://www.etsy.com/listing/seed-016,0.6706,low,0,Outdoorsy: I Sit Near Windows,"Outdoorsy: I Sit Near Windows | My Wilderness Is A Nice Patio | Rugged, In A Brunch Sort Of Way",design.svg,dryrun
12,professional-overpacker-sticker-camping-humor-di,etsy,Professional Overpacker Sticker | Camping Humor | Die Cut Waterproof,https://www.etsy.com/listing/seed-003,0.6451,low,0,Certified Overpacker (Self-Appointed),Certified Overpacker (Self-Appointed) | I Packed For Every Apocalypse | Just In Case Is My Whole Personality,design.svg,dryrun
